,No.,Player,PronounsMere Info  PronounsInterested in learning more about pronouns? Click here.,Position,Year,Height,Points,Assists,Ds,Turns,team_name,level,gender,division
6,8,Martín Jimenez-Williams,H,Dump,College (FR),"5'8""",,,,4.0,Claremont,Division 3,Men,Division 3 Men
7,9,Emmett Levine,H,Cutter,Elementary School (K),"10'0""",4.0,,3.0,1.0,Claremont,Division 3,Men,Division 3 Men
8,10,Tanveer Singh Chabba,,,,,1.0,2.0,1.0,6.0,Claremont,Division 3,Men,Division 3 Men
9,13,Silas Brock,,Defense (Cutter),,,1.0,,,,Claremont,Division 3,Men,Division 3 Men
10,13,Cid Maciel,,,,,,,,,Claremont,Division 3,Men,Division 3 Men
11,24,Luca Davis,H,,,,,,,,Claremont,Division 3,Men,Division 3 Men
12,28,Jamie Miller,,Dump,Elementary School (4th grade),"4'9""",11.0,4.0,2.0,3.0,Claremont,Division 3,Men,Division 3 Men
13,30,Isamu Masayoshi Sims,,Handler,,,9.0,11.0,6.0,8.0,Claremont,Division 3,Men,Division 3 Men
14,31,Sam Fischer,H,,,,3.0,1.0,,,Claremont,Division 3,Men,Division 3 Men
15,45,Sebastian Harvey,H,,,,1.0,2.0,,2.0,Claremont,Division 3,Men,Division 3 Men
16,57,Mitchell Yam,H,Handler,College (FR),"5'10""",2.0,6.0,,5.0,Claremont,Division 3,Men,Division 3 Men
17,63,Leo Godsberg,,Defense (Cutter/Handler),College (SO),"5'10""",1.0,1.0,,,Claremont,Division 3,Men,Division 3 Men
18,71,Elijah Axt,H,Cutter,Elementary School (K),"6'3""",3.0,4.0,6.0,10.0,Claremont,Division 3,Men,Division 3 Men
19,77,Jeremy Kaufman,,,,,1.0,2.0,2.0,1.0,Claremont,Division 3,Men,Division 3 Men
20,80,Isaiah Curtis,H,,High School (11th Grade),"6'3""",4.0,6.0,1.0,14.0,Claremont,Division 3,Men,Division 3 Men
21,88,Noah Pershing,H,Cutter,,,,,1.0,1.0,Claremont,Division 3,Men,Division 3 Men
22,93,Jack Sheehan,,Mid,Middle School (7th Grade),"2'11""",1.0,2.0,1.0,2.0,Claremont,Division 3,Men,Division 3 Men
23,99,Jacob Leichter Wilson,,Cutter,,,1.0,1.0,,3.0,Claremont,Division 3,Men,Division 3 Men
0,4,Brendon Mersincavage,,Defense (Cutter),,,3.0,,4.0,3.0,Oklahoma Christian,Division 3,Men,Division 3 Men
1,6,Milton Adina,H,,,,1.0,2.0,,7.0,Oklahoma Christian,Division 3,Men,Division 3 Men
2,7,Alex Santai,H,,,,2.0,1.0,1.0,5.0,Oklahoma Christian,Division 3,Men,Division 3 Men
3,9,Surafel Sharpe,,,,,,1.0,,3.0,Oklahoma Christian,Division 3,Men,Division 3 Men
4,10,David Peterson,,,College (GR),"5'11""",4.0,2.0,1.0,1.0,Oklahoma Christian,Division 3,Men,Division 3 Men
5,11,Ian Hammersmith,,Defense (Cutter),,,1.0,,,2.0,Oklahoma Christian,Division 3,Men,Division 3 Men
6,12,Isaiah Platt,,Defense (Cutter),High School (11th Grade),"5'8""",2.0,2.0,4.0,8.0,Oklahoma Christian,Division 3,Men,Division 3 Men
7,15,TJ Lee,H,Mid,,"6'0""",5.0,2.0,1.0,9.0,Oklahoma Christian,Division 3,Men,Division 3 Men
8,16,Logan Krehbiel,,Handler,High School (11th Grade),"5'11""",3.0,1.0,1.0,5.0,Oklahoma Christian,Division 3,Men,Division 3 Men
9,17,Caleb Lance,,Defense (Cutter/Handler),,"5'11""",,2.0,,1.0,Oklahoma Christian,Division 3,Men,Division 3 Men
10,20,Yuto Hiraki,,Dump,,,,1.0,,6.0,Oklahoma Christian,Division 3,Men,Division 3 Men
11,21,Alex Babler,,Dump,Elementary School (K),"10'11""",8.0,3.0,2.0,5.0,Oklahoma Christian,Division 3,Men,Division 3 Men
12,22,Luke Norby,,Handler,High School (10th Grade),"6'2""",4.0,5.0,5.0,6.0,Oklahoma Christian,Division 3,Men,Division 3 Men
13,23,Andrew Sullivan,,Handler,College (GR),"5'8""",2.0,1.0,,5.0,Oklahoma Christian,Division 3,Men,Division 3 Men
14,31,Kong Hui Lim,,Handler/Cutter,College (SR),"5'5""",2.0,,,1.0,Oklahoma Christian,Division 3,Men,Division 3 Men
15,32,Bowen Bigby,,Defense (Cutter),,,,,,,Oklahoma Christian,Division 3,Men,Division 3 Men
16,37,Logan Hammersmith,,Defense (Cutter/Handler),College (JR),"6'1""",12.0,1.0,5.0,3.0,Oklahoma Christian,Division 3,Men,Division 3 Men
17,57,Samuel Roberts,,Handler,College (SR),"5'11""",2.0,29.0,4.0,18.0,Oklahoma Christian,Division 3,Men,Division 3 Men
18,60,Emmanuel Kameri,H/T,Cutter,College (FR),"6'0""",2.0,4.0,3.0,5.0,Oklahoma Christian,Division 3,Men,Division 3 Men
19,69,Couper Kerns,H,Dump,Elementary School (3rd grade),"9'11""",12.0,6.0,2.0,11.0,Oklahoma Christian,Division 3,Men,Division 3 Men
20,88,Joshua Gill,,,,,5.0,4.0,,8.0,Oklahoma Christian,Division 3,Men,Division 3 Men
0,0,Theo Burdick,,,,,1.0,,,,Richmond,Division 3,Men,Division 3 Men
1,1,Brenton Dolan,H,,,,8.0,,3.0,1.0,Richmond,Division 3,Men,Division 3 Men
2,2,Chris Johnson,H,,,,1.0,1.0,1.0,3.0,Richmond,Division 3,Men,Division 3 Men
3,6,Ian Silver,,,,,1.0,,,3.0,Richmond,Division 3,Men,Division 3 Men
4,7,William Martin,,Dump,,,4.0,4.0,1.0,6.0,Richmond,Division 3,Men,Division 3 Men
5,9,Jack Healey,,,College (JR),"6'1""",2.0,,1.0,,Richmond,Division 3,Men,Division 3 Men
6,11,Anthony Longo,H,Cutter,College (JR),"6'3""",7.0,3.0,1.0,8.0,Richmond,Division 3,Men,Division 3 Men
7,12,Kyle Bjornson,,,,,,,,,Richmond,Division 3,Men,Division 3 Men
8,13,Nicolas Moreira,,,,,4.0,3.0,,2.0,Richmond,Division 3,Men,Division 3 Men
9,15,Jackson Carbonier,,,,,1.0,1.0,,6.0,Richmond,Division 3,Men,Division 3 Men
10,18,Eric Harnisher,,,,,4.0,4.0,1.0,2.0,Richmond,Division 3,Men,Division 3 Men
11,19,Conor Morrisroe,,,,,1.0,3.0,,2.0,Richmond,Division 3,Men,Division 3 Men
12,20,Will Sharpe,,,,,,,,,Richmond,Division 3,Men,Division 3 Men
13,22,Garrett Jay,,,,,,,,1.0,Richmond,Division 3,Men,Division 3 Men
14,23,Ben Edelman,,Handler,College (SO),"5'7""",2.0,,,1.0,Richmond,Division 3,Men,Division 3 Men
15,25,Sassan Fahim,,,,,1.0,5.0,4.0,6.0,Richmond,Division 3,Men,Division 3 Men
16,26,Benton Gunter,,,,,,,,,Richmond,Division 3,Men,Division 3 Men
17,27,Rowan Keller,,Defense (Cutter),,,5.0,1.0,4.0,2.0,Richmond,Division 3,Men,Division 3 Men
18,30,Owen Smith,,,,,,,,1.0,Richmond,Division 3,Men,Division 3 Men
19,31,Devon Shepherd,,Deep,,,4.0,2.0,1.0,5.0,Richmond,Division 3,Men,Division 3 Men
20,33,Gabriel Gehtland,,,,,2.0,3.0,3.0,12.0,Richmond,Division 3,Men,Division 3 Men
21,35,Clay Rosselot,,,,,4.0,10.0,3.0,22.0,Richmond,Division 3,Men,Division 3 Men
22,40,Calvin Ciorba,,Defense (Handler),College (SR),"5'10""",1.0,13.0,8.0,20.0,Richmond,Division 3,Men,Division 3 Men
23,42,Jeyaraj Keeley,,,,,,1.0,,1.0,Richmond,Division 3,Men,Division 3 Men
24,50,Ryan Casey,,,,,,1.0,1.0,,Richmond,Division 3,Men,Division 3 Men
25,55,Nathan Winiarski,H,Cutter,College (SR),"6'2""",2.0,4.0,2.0,8.0,Richmond,Division 3,Men,Division 3 Men
26,64,Griffin Newhouse,,,,,2.0,,3.0,,Richmond,Division 3,Men,Division 3 Men
27,77,Eli Amantia,,,,,4.0,,1.0,5.0,Richmond,Division 3,Men,Division 3 Men
28,99,Finn Garside,,,,,,1.0,,1.0,Richmond,Division 3,Men,Division 3 Men
0,0,Nadav Melamede,H,,,,1.0,5.0,1.0,7.0,Middlebury,Division 3,Men,Division 3 Men
1,1,Max Chalfin-Jacobs,,Dump,Elementary School (K),"2'3""",,,2.0,,Middlebury,Division 3,Men,Division 3 Men
2,2,Max Rogers,H,Handler,College (FR),"5'10""",7.0,2.0,3.0,5.0,Middlebury,Division 3,Men,Division 3 Men
3,3,Charles Harder,,Dump,Elementary School (1st grade),"6'1""",9.0,1.0,2.0,,Middlebury,Division 3,Men,Division 3 Men
4,4,Michel Abboud,,Mid,,,,,1.0,,Middlebury,Division 3,Men,Division 3 Men
5,5,Vincent Sullivan,H,,,,2.0,1.0,2.0,1.0,Middlebury,Division 3,Men,Division 3 Men
6,7,Theo Holdsworth,H,Dump,,,,2.0,,2.0,Middlebury,Division 3,Men,Division 3 Men
7,8,Hayden Herrick,,Handler,,,,,1.0,2.0,Middlebury,Division 3,Men,Division 3 Men
8,10,Luke Staples,,Mid,College (GR),"2'6""",3.0,,,1.0,Middlebury,Division 3,Men,Division 3 Men
9,11,Jack DiCola,,,College (FR),"6'0""",1.0,1.0,2.0,,Middlebury,Division 3,Men,Division 3 Men
10,12,Jasper Pearcy-Kahn,H,Defense (Cutter),Middle School (8th Grade),"6'2""",4.0,5.0,4.0,2.0,Middlebury,Division 3,Men,Division 3 Men
11,13,Peter Mans,,Deep,Middle School (7th Grade),"6'6""",10.0,20.0,9.0,10.0,Middlebury,Division 3,Men,Division 3 Men
12,14,Oscar de Swaan Arons,H,Handler/Cutter,College (FR),"6'0""",14.0,11.0,2.0,6.0,Middlebury,Division 3,Men,Division 3 Men
13,15,Ned Cutler,,Dump,Elementary School (2nd grade),"7'4""",5.0,4.0,2.0,3.0,Middlebury,Division 3,Men,Division 3 Men
14,17,Aidan DeLorenzo,,Handler/Cutter,High School (9th Grade),"5'11""",4.0,1.0,1.0,6.0,Middlebury,Division 3,Men,Division 3 Men
15,20,Calder Lange,,,,,,,,1.0,Middlebury,Division 3,Men,Division 3 Men
16,25,Louis Douville Beaudoin,,,,,8.0,15.0,4.0,5.0,Middlebury,Division 3,Men,Division 3 Men
17,31,Panhan Chen,,Handler/Cutter,College (FR),"10'11""",2.0,2.0,1.0,,Middlebury,Division 3,Men,Division 3 Men
18,35,Avery Hackett,,Deep,,,1.0,,,,Middlebury,Division 3,Men,Division 3 Men
19,37,Lucas Nerbonne,H,Mid,,,,1.0,2.0,2.0,Middlebury,Division 3,Men,Division 3 Men
20,40,Anders Weber,,Dump,,,2.0,,,1.0,Middlebury,Division 3,Men,Division 3 Men
21,47,Liam Reynolds,,Deep,Elementary School (K),"5'11""",,3.0,1.0,6.0,Middlebury,Division 3,Men,Division 3 Men
22,53,Jorre Dahl,,Dump,College (FR),"6'5""",3.0,,3.0,5.0,Middlebury,Division 3,Men,Division 3 Men
23,76,Ryan Muller,,Dump,Elementary School (3rd grade),"6'2""",,,2.0,,Middlebury,Division 3,Men,Division 3 Men
24,81,Geir Hartl,H,Mid,College (FR),"6'5""",7.0,4.0,4.0,8.0,Middlebury,Division 3,Men,Division 3 Men
25,83,Gavin Rice,,,,,4.0,9.0,1.0,5.0,Middlebury,Division 3,Men,Division 3 Men
0,1,Orlando Impas,,,,,8.0,15.0,4.0,9.0,Lewis & Clark,Division 3,Men,Division 3 Men
1,2,Toby Rivera,,,,,2.0,8.0,2.0,9.0,Lewis & Clark,Division 3,Men,Division 3 Men
2,3,Leo Farley,,,,,20.0,7.0,3.0,10.0,Lewis & Clark,Division 3,Men,Division 3 Men
3,4,Charlie Wagner,,,,,4.0,17.0,,23.0,Lewis & Clark,Division 3,Men,Division 3 Men
4,6,Sam London,,,,,1.0,16.0,4.0,9.0,Lewis & Clark,Division 3,Men,Division 3 Men
5,7,Max Zwerin,,Cutter,College (JR),"6'2""",23.0,2.0,8.0,4.0,Lewis & Clark,Division 3,Men,Division 3 Men
6,8,Joniah Helperin-Lange,H/S/T,,,,,2.0,2.0,3.0,Lewis & Clark,Division 3,Men,Division 3 Men
7,9,Ben Eichel,H,,,,3.0,5.0,1.0,3.0,Lewis & Clark,Division 3,Men,Division 3 Men
8,10,Jonas Bray,,,,,7.0,1.0,1.0,2.0,Lewis & Clark,Division 3,Men,Division 3 Men
9,11,Zach Hungerford,,,High School (11th Grade),"5'11""",,,1.0,,Lewis & Clark,Division 3,Men,Division 3 Men
10,13,Akshay Bhatia,,,,,3.0,6.0,4.0,8.0,Lewis & Clark,Division 3,Men,Division 3 Men
11,14,Levi Stahl,H,Defense (Handler),Middle School (7th Grade),"4'2""",3.0,1.0,5.0,4.0,Lewis & Clark,Division 3,Men,Division 3 Men
12,17,Uri Boaz,,,,,,,,,Lewis & Clark,Division 3,Men,Division 3 Men
13,18,David Allen,H,Dump,College (SR),"5'8""",1.0,,,,Lewis & Clark,Division 3,Men,Division 3 Men
14,21,James Fishman-Morren,,Dump,,"6'9""",2.0,6.0,,5.0,Lewis & Clark,Division 3,Men,Division 3 Men
15,26,Aiden Jacobs,,,,,,1.0,1.0,1.0,Lewis & Clark,Division 3,Men,Division 3 Men
16,28,Jonas Kra-Caskey,,,,,,,,,Lewis & Clark,Division 3,Men,Division 3 Men
17,42,Topher Olson,S/T,,College (GR),"6'7""",4.0,3.0,2.0,4.0,Lewis & Clark,Division 3,Men,Division 3 Men
18,44,Tyler Shelton,H,,,,4.0,,,3.0,Lewis & Clark,Division 3,Men,Division 3 Men
19,66,Rowan Simoni,,,,,,,,1.0,Lewis & Clark,Division 3,Men,Division 3 Men
20,71,William Ahlstrom,,,,,7.0,3.0,3.0,1.0,Lewis & Clark,Division 3,Men,Division 3 Men
21,83,Jericho Stern,,,,,3.0,1.0,5.0,3.0,Lewis & Clark,Division 3,Men,Division 3 Men
0,0,Denis Cha,H,Handler,,,3.0,3.0,3.0,6.0,Wesleyan,Division 3,Men,Division 3 Men
1,1,Malen Cheung,,Handler/Cutter,,,12.0,2.0,2.0,5.0,Wesleyan,Division 3,Men,Division 3 Men
2,2,Sy Schoen,,Cutter,,,4.0,3.0,1.0,2.0,Wesleyan,Division 3,Men,Division 3 Men
3,4,Ezekiel Appel,,Dump,College (GR),"6'2""",5.0,1.0,2.0,,Wesleyan,Division 3,Men,Division 3 Men
4,8,Joe Finkelstein,,Cutter,,,,,,1.0,Wesleyan,Division 3,Men,Division 3 Men
5,9,Trevor Gold,,Cutter,,,1.0,,1.0,,Wesleyan,Division 3,Men,Division 3 Men
6,10,Aran Sheehan,,Cutter,Elementary School (K),"3'6""",8.0,5.0,2.0,5.0,Wesleyan,Division 3,Men,Division 3 Men
7,13,Amit Piryatinsky,,Cutter,,,,,,1.0,Wesleyan,Division 3,Men,Division 3 Men
8,16,Jake Klasky,H/T,Handler,College (FR),"6'1""",,6.0,,3.0,Wesleyan,Division 3,Men,Division 3 Men
9,18,Alex Files,H,Cutter,,,,,,,Wesleyan,Division 3,Men,Division 3 Men
10,19,Daniel Becker,H,Cutter,,,1.0,,,,Wesleyan,Division 3,Men,Division 3 Men
11,20,Jack Noble,,Handler,College (FR),"6'2""",8.0,21.0,6.0,21.0,Wesleyan,Division 3,Men,Division 3 Men
12,21,Thomas Kan,,Handler,College (FR),"5'8""",,1.0,,3.0,Wesleyan,Division 3,Men,Division 3 Men
13,22,Dash Merrill,H/T,Cutter,Elementary School (2nd grade),"2'2""",,,,3.0,Wesleyan,Division 3,Men,Division 3 Men
14,23,Isaac Janiak Stein,H,,,"9'9""",,,,,Wesleyan,Division 3,Men,Division 3 Men
15,24,Judah Hoffenberg,,Handler,College (JR),"2'11""",9.0,8.0,1.0,6.0,Wesleyan,Division 3,Men,Division 3 Men
16,25,James Giokaris,H,Cutter,College (JR),"6'4""",,,,,Wesleyan,Division 3,Men,Division 3 Men
17,27,Jonah Yas,H,Cutter,College (FR),"5'11""",,,,,Wesleyan,Division 3,Men,Division 3 Men
18,29,Daniel Gessel,,Handler/Cutter,,,1.0,,,,Wesleyan,Division 3,Men,Division 3 Men
19,30,Daniel Glickman,H,Cutter,,,17.0,23.0,7.0,15.0,Wesleyan,Division 3,Men,Division 3 Men
20,32,Julian Fried,,Cutter,,,,,,,Wesleyan,Division 3,Men,Division 3 Men
21,33,Jack Pagano,,,,,,,,1.0,Wesleyan,Division 3,Men,Division 3 Men
22,36,Ethan King,,Cutter,,,1.0,3.0,3.0,5.0,Wesleyan,Division 3,Men,Division 3 Men
23,37,Cole Pepin,,Handler/Cutter,,,,,,,Wesleyan,Division 3,Men,Division 3 Men
24,52,Eli Fellus,H,Handler/Cutter,College (SO),"5'8""",7.0,1.0,1.0,3.0,Wesleyan,Division 3,Men,Division 3 Men
25,64,Ethan Qu,H/S/T,Handler/Cutter,,,2.0,,2.0,1.0,Wesleyan,Division 3,Men,Division 3 Men
26,77,Dylan McCaleb,,Handler,,,,,,1.0,Wesleyan,Division 3,Men,Division 3 Men
27,86,Jackson Barber-Just,H,Cutter,Middle School (7th Grade),"6'0""",,1.0,,,Wesleyan,Division 3,Men,Division 3 Men
28,88,Will Clemans,H,Handler,,,,1.0,4.0,6.0,Wesleyan,Division 3,Men,Division 3 Men
29,99,Sam Korenbaum,,Cutter,,,1.0,,,,Wesleyan,Division 3,Men,Division 3 Men
0,0,Stephen Plopper,,,,,1.0,,1.0,,Hillsdale,Division 3,Men,Division 3 Men
1,3,Eden Ryan,,,,,1.0,,,3.0,Hillsdale,Division 3,Men,Division 3 Men
2,4,Judah McDowell,,,,,1.0,1.0,1.0,4.0,Hillsdale,Division 3,Men,Division 3 Men
3,5,Lance Lintereur,,,,,6.0,1.0,,8.0,Hillsdale,Division 3,Men,Division 3 Men
4,6,Gregory Moreno,,,,,14.0,10.0,6.0,8.0,Hillsdale,Division 3,Men,Division 3 Men
5,7,Eliana Plopper,,,,,,,,,Hillsdale,Division 3,Men,Division 3 Men
6,9,Jacob LaBonte,,,,,5.0,4.0,1.0,2.0,Hillsdale,Division 3,Men,Division 3 Men
7,10,Jedidiah Hamilton,,,,,6.0,15.0,15.0,32.0,Hillsdale,Division 3,Men,Division 3 Men
8,11,James Hamilton,,,College (SR),"5'10""",7.0,20.0,7.0,33.0,Hillsdale,Division 3,Men,Division 3 Men
9,14,Nick Rutkoski,,,,,1.0,,1.0,3.0,Hillsdale,Division 3,Men,Division 3 Men
10,18,Daniel Lo,,,,,,,,2.0,Hillsdale,Division 3,Men,Division 3 Men
11,19,Caleb Ostella,,,,,1.0,2.0,,3.0,Hillsdale,Division 3,Men,Division 3 Men
12,20,William Hart,,,,,,,2.0,1.0,Hillsdale,Division 3,Men,Division 3 Men
13,21,Anna Coln,,,,,,1.0,,,Hillsdale,Division 3,Men,Division 3 Men
14,23,Ineka Pastermack,,,,,,1.0,,,Hillsdale,Division 3,Men,Division 3 Men
15,24,Robert Sutton,,,,,,,,1.0,Hillsdale,Division 3,Men,Division 3 Men
16,27,Anders Moody,,,,,11.0,3.0,6.0,11.0,Hillsdale,Division 3,Men,Division 3 Men
17,28,Michael Choe,,,,,2.0,,,2.0,Hillsdale,Division 3,Men,Division 3 Men
18,32,Maggie Phillips,,,,,,,,2.0,Hillsdale,Division 3,Men,Division 3 Men
19,37,Gabriel Dobrozsi,,,,,5.0,5.0,2.0,4.0,Hillsdale,Division 3,Men,Division 3 Men
20,45,Mason Settergren,,,,,2.0,,,,Hillsdale,Division 3,Men,Division 3 Men
21,63,Madeline Blake,,,,,1.0,,,,Hillsdale,Division 3,Men,Division 3 Men
0,1,Amelia Platt,S,,,,10.0,4.0,5.0,5.0,Wesleyan,Division 3,Women,Division 3 Women
1,2,Sofia Canoutas-Nadel,S,,,,11.0,7.0,9.0,10.0,Wesleyan,Division 3,Women,Division 3 Women
2,4,Olivia Bordon,,,College (SR),,2.0,,2.0,6.0,Wesleyan,Division 3,Women,Division 3 Women
3,6,Milo Brown,T,Defense (Cutter),High School (12th Grade),"5'6""",8.0,13.0,7.0,32.0,Wesleyan,Division 3,Women,Division 3 Women
4,7,Elizabeth Littell,,,,,,,1.0,1.0,Wesleyan,Division 3,Women,Division 3 Women
5,8,Ruby Kauffman-Rosengarten,,,,,,,1.0,3.0,Wesleyan,Division 3,Women,Division 3 Women
6,10,Kayla Harrison,S/T,,College (JR),"5'1""",5.0,3.0,5.0,10.0,Wesleyan,Division 3,Women,Division 3 Women
7,11,Natalie Sweet,,Handler,,"5'7""",11.0,10.0,11.0,16.0,Wesleyan,Division 3,Women,Division 3 Women
8,12,Lola Murnighan,,,,,1.0,1.0,5.0,3.0,Wesleyan,Division 3,Women,Division 3 Women
9,13,Alexandra Raskin,,,,,2.0,,3.0,3.0,Wesleyan,Division 3,Women,Division 3 Women
10,14,Olivia Benton,,,,,,,2.0,5.0,Wesleyan,Division 3,Women,Division 3 Women
11,15,Chloe Pacetti,,,,"5'5""",,,,2.0,Wesleyan,Division 3,Women,Division 3 Women
12,16,Leza Rooks,,Cutter,High School (9th Grade),"5'3""",,,,,Wesleyan,Division 3,Women,Division 3 Women
13,17,Maggie Brown,S,Cutter,College (SO),"5'5""",1.0,4.0,7.0,18.0,Wesleyan,Division 3,Women,Division 3 Women
14,20,Sara Larson,,,,,1.0,,,,Wesleyan,Division 3,Women,Division 3 Women
15,23,Nola Busansky,,,,,,,,1.0,Wesleyan,Division 3,Women,Division 3 Women
16,24,Tae Weiss,S,,,,,,,,Wesleyan,Division 3,Women,Division 3 Women
17,27,Scout Noble,,,College (FR),"5'5""",9.0,24.0,5.0,29.0,Wesleyan,Division 3,Women,Division 3 Women
18,31,Rongrong Weng,,,,"5'7""",1.0,,,3.0,Wesleyan,Division 3,Women,Division 3 Women
19,38,Susannah Cornell,,Cutter,,,8.0,3.0,14.0,7.0,Wesleyan,Division 3,Women,Division 3 Women
20,42,Ella Spitz,S,,,,2.0,1.0,,2.0,Wesleyan,Division 3,Women,Division 3 Women
21,45,Mackenzie Bunnell,,Cutter,College (FR),"5'7""",7.0,3.0,13.0,13.0,Wesleyan,Division 3,Women,Division 3 Women
22,47,Maya Salzman,,,,,1.0,,,1.0,Wesleyan,Division 3,Women,Division 3 Women
23,50,Nora Jacobsen,,,,,1.0,7.0,4.0,7.0,Wesleyan,Division 3,Women,Division 3 Women
24,55,Mae Wrigley,,,,,,,,1.0,Wesleyan,Division 3,Women,Division 3 Women
0,0,Charlotte Moynihan,,Cutter,,,4.0,18.0,7.0,21.0,Mount Holyoke,Division 3,Women,Division 3 Women
1,2,Mamie Mulder,S,,,,,1.0,,,Mount Holyoke,Division 3,Women,Division 3 Women
2,3,Flora Sanderson,,,,,1.0,,,1.0,Mount Holyoke,Division 3,Women,Division 3 Women
3,7,Madeline Wychocki,S,,,,3.0,1.0,2.0,4.0,Mount Holyoke,Division 3,Women,Division 3 Women
4,11,Sonja Gray,,Mid,High School (11th Grade),"5'7""",1.0,,,3.0,Mount Holyoke,Division 3,Women,Division 3 Women
5,13,Celine Falcon-Geist,,,,,4.0,,1.0,6.0,Mount Holyoke,Division 3,Women,Division 3 Women
6,14,Mia Pashoukos,,,,,1.0,,1.0,6.0,Mount Holyoke,Division 3,Women,Division 3 Women
7,15,Molly Potts,S/T,,,,1.0,3.0,5.0,20.0,Mount Holyoke,Division 3,Women,Division 3 Women
8,18,Sofia Solis,S,,,"10'11""",,,,8.0,Mount Holyoke,Division 3,Women,Division 3 Women
9,19,Eliza Williams-Derry,,,,,12.0,9.0,5.0,23.0,Mount Holyoke,Division 3,Women,Division 3 Women
10,23,Adalaide Tholen,,,,,1.0,1.0,,3.0,Mount Holyoke,Division 3,Women,Division 3 Women
11,24,Sofia Roth,,,,,,,,1.0,Mount Holyoke,Division 3,Women,Division 3 Women
12,30,Jamie Eldridge,,,,,4.0,7.0,5.0,23.0,Mount Holyoke,Division 3,Women,Division 3 Women
13,34,Eva Taberski,H/S/T,Handler/Cutter,High School (12th Grade),"5'9""",4.0,3.0,8.0,20.0,Mount Holyoke,Division 3,Women,Division 3 Women
14,36,Anna Thornton,,,,,,,,,Mount Holyoke,Division 3,Women,Division 3 Women
15,42,Hjordis Aho,S,,,,3.0,4.0,7.0,16.0,Mount Holyoke,Division 3,Women,Division 3 Women
16,91,Claire Willett,S,,,,15.0,7.0,11.0,19.0,Mount Holyoke,Division 3,Women,Division 3 Women
0,0,Amber Collins,,,,,,,,,Davenport,Division 3,Women,Division 3 Women
1,2,Natalie Prentice,,,,,,,,,Davenport,Division 3,Women,Division 3 Women
2,5,Jade Remacle,,,,,9.0,1.0,,5.0,Davenport,Division 3,Women,Division 3 Women
3,7,Grace McCann,,,,,,,,2.0,Davenport,Division 3,Women,Division 3 Women
4,8,Kara Higgins,,,,,9.0,2.0,10.0,9.0,Davenport,Division 3,Women,Division 3 Women
5,11,Nicole Carvalho,S,,,,6.0,1.0,3.0,13.0,Davenport,Division 3,Women,Division 3 Women
6,13,Leilani Lepe,,,,,6.0,10.0,6.0,9.0,Davenport,Division 3,Women,Division 3 Women
7,14,Jocelyn Richison,,Handler/Cutter,,,9.0,17.0,14.0,41.0,Davenport,Division 3,Women,Division 3 Women
8,17,Draya Valente,,,,,1.0,,,,Davenport,Division 3,Women,Division 3 Women
9,18,Addison Hardin,,,,,8.0,2.0,,5.0,Davenport,Division 3,Women,Division 3 Women
10,20,Avery Smith,,,,,4.0,1.0,1.0,7.0,Davenport,Division 3,Women,Division 3 Women
11,21,Kylee Sipkema,,,,,,,1.0,4.0,Davenport,Division 3,Women,Division 3 Women
12,22,Brianna Rodriguez,,,,,,,,,Davenport,Division 3,Women,Division 3 Women
13,24,KayAnna Williams,S,,,,,,,,Davenport,Division 3,Women,Division 3 Women
14,25,Yasmin Banares,S,Handler/Cutter,College (GR),"5'5""",,,,,Davenport,Division 3,Women,Division 3 Women
15,26,Mya Maycroft,,,,,7.0,,1.0,4.0,Davenport,Division 3,Women,Division 3 Women
16,35,Dayna Templeton,S,,,,1.0,4.0,6.0,11.0,Davenport,Division 3,Women,Division 3 Women
17,58,Lanie O'Neill,,Defense (Cutter/Handler),College (SR),"5'6""",3.0,23.0,13.0,49.0,Davenport,Division 3,Women,Division 3 Women
0,0,Keira Linnane,,,,,2.0,15.0,2.0,21.0,Richmond,Division 3,Women,Division 3 Women
1,1,Rhiannon Harris,,,,,,,,,Richmond,Division 3,Women,Division 3 Women
2,2,Emma Seto,S,Cutter,College (SR),"5'8""",3.0,,2.0,1.0,Richmond,Division 3,Women,Division 3 Women
3,3,Emma Alatzas,,,College (FR),"5'7""",8.0,12.0,6.0,24.0,Richmond,Division 3,Women,Division 3 Women
4,4,Catie Geraghty,,,,,6.0,,5.0,6.0,Richmond,Division 3,Women,Division 3 Women
5,5,Maggie McFerran,,Cutter,College (SR),"5'5""",7.0,1.0,4.0,8.0,Richmond,Division 3,Women,Division 3 Women
6,6,Zoe Epstein,,,,,2.0,,2.0,1.0,Richmond,Division 3,Women,Division 3 Women
7,8,Jolie Martin,,,,,3.0,1.0,6.0,1.0,Richmond,Division 3,Women,Division 3 Women
8,9,Arianna Kightlinger,S,Handler/Cutter,College (JR),"5'2""",7.0,2.0,7.0,20.0,Richmond,Division 3,Women,Division 3 Women
9,10,Danna Aguilar,T,,,,2.0,1.0,1.0,2.0,Richmond,Division 3,Women,Division 3 Women
10,12,Camden Thomason,,,,,2.0,,4.0,5.0,Richmond,Division 3,Women,Division 3 Women
11,14,Brennan Seltzer,,,,,,,,,Richmond,Division 3,Women,Division 3 Women
12,15,Lucy Sevetson,S,Handler/Cutter,College (FR),"5'8""",,11.0,4.0,24.0,Richmond,Division 3,Women,Division 3 Women
13,17,Abigail Fuller,,,,,2.0,,1.0,1.0,Richmond,Division 3,Women,Division 3 Women
